patch_number,civ,n_matches,win_rate
104954,vietnamese,19549,0.47654611489078724
104954,vikings,12286,0.5140810678821423
107882,armenians,23346,0.4913047202946972
107882,aztecs,32916,0.47250577226880547
107882,bengalis,12394,0.47280942391479747
107882,berbers,31595,0.5056496281057129
107882,bohemians,33004,0.518785601745243
107882,britons,68767,0.47583870170285164
107882,bulgarians,39529,0.4950795618406739
107882,burgundians,29088,0.4797167216721672
107882,burmese,19868,0.46506945842560904
107882,byzantines,49977,0.4863437181103307
107882,celts,37690,0.5046166091801539
107882,chinese,39525,0.4858191018342821
107882,cumans,45806,0.4994105575688774
107882,dravidians,12834,0.4885460495558672
107882,ethiopians,59955,0.5095988658160286
107882,franks,112608,0.5112869423131572
107882,georgians,29025,0.5182084409991387
107882,goths,49436,0.5002225099118052
107882,gurjaras,16659,0.49420733537427214
107882,hindustanis,48229,0.5184432602790852
107882,huns,53679,0.5118016356489502
107882,incas,37299,0.505724014048634
107882,italians,31362,0.4808685670556725
107882,japanese,39141,0.4917094606678419
107882,khmer,55925,0.4882074206526598
107882,koreans,29557,0.48066447880366747
107882,lithuanians,56359,0.4974538228144573
107882,magyars,68826,0.5015982332258159
107882,malay,32086,0.5103783581624385
107882,malians,39368,0.513030888030888
107882,mayans,50039,0.4884989708027738
107882,mongols,139849,0.5172364478830739
107882,persians,74790,0.5156571734189063
107882,poles,27292,0.4793346035468269
107882,portuguese,49271,0.4954638631243531
107882,romans,26426,0.5243699386967381
107882,saracens,36385,0.4891301360450735
107882,sicilians,27200,0.5130514705882353
107882,slavs,32613,0.4992794284487781
107882,spanish,65974,0.5104889805074726
107882,tatars,28616,0.4724979032708974
107882,teutons,58574,0.4955440980639874
107882,turks,59258,0.5136015390327044
107882,vietnamese,46291,0.4754487913417295
107882,vikings,32137,0.5072968852101939
111772,armenians,39437,0.4898699191114943
111772,aztecs,56570,0.4647339579282305
111772,bengalis,23583,0.49281261925963615
111772,berbers,60316,0.50036474567279
111772,bohemians,60480,0.5238756613756613
111772,britons,120092,0.47057256103653866
111772,bulgarians,67167,0.4971786740512454
111772,burgundians,53527,0.4819250098081342
111772,burmese,40982,0.48206529695964084
111772,byzantines,95700,0.4828944618599791
111772,celts,65259,0.5099679737660706
111772,chinese,71163,0.48405772662760144
111772,cumans,83673,0.5004959783920739
111772,dravidians,22939,0.4859409738872662
111772,ethiopians,107446,0.5014984271168773
111772,franks,208508,0.5101051278608015
111772,georgians,56119,0.5111459576970366
111772,goths,87545,0.4988177508709806
111772,gurjaras,31124,0.4922889088806066
111772,hindustanis,86200,0.5240023201856149
111772,huns,114080,0.5193723702664796
111772,incas,64353,0.5047161748481034
111772,italians,55541,0.48598332763183955
111772,japanese,63395,0.4819465257512422
111772,khmer,101399,0.48893973313346284
111772,koreans,54946,0.4826192989480581
111772,lithuanians,102618,0.5022120875479935
111772,magyars,130399,0.5014072193805167
111772,malay,55507,0.5135388329399896
111772,malians,68446,0.5114250650147562
111772,mayans,86148,0.48073083530668154
111772,mongols,245802,0.5121561256621183
111772,persians,132378,0.5158032301439817
111772,poles,47326,0.48753327980391326
111772,portuguese,97000,0.4934845360824742
111772,romans,46884,0.5304154935585701
111772,saracens,72411,0.4962781897777962
111772,sicilians,45003,0.5228095904717464
111772,slavs,54181,0.5002491648363817
111772,spanish,126202,0.5114023549547551
111772,tatars,54912,0.47477782634032634
111772,teutons,103471,0.5023629809318553
111772,turks,104110,0.5113437710114302
111772,vietnamese,82586,0.4694015934904221
111772,vikings,52556,0.5095517162645559
125283,armenians,74170,0.48638263448833763
125283,aztecs,94794,0.4667805979281389
125283,bengalis,75679,0.503865008787114
125283,berbers,118469,0.5037858005047734
125283,bohemians,132702,0.5040014468508387
125283,britons,201255,0.4778316066681573
125283,bulgarians,108015,0.4941350738323381
125283,burgundians,125569,0.4650670149479569
125283,burmese,67484,0.4815808191571335
125283,byzantines,169267,0.48249215736085593
125283,celts,123677,0.5130622508631354
125283,chinese,137110,0.4970388738968711
125283,cumans,150490,0.4997940062462622
125283,dravidians,60609,0.47207510435743866
125283,ethiopians,192251,0.5077580870840723
125283,franks,336341,0.5070895311603403
125283,georgians,122662,0.5053806394808498
125283,goths,148647,0.4959804099645469
125283,gurjaras,82943,0.4704797270414622
125283,hindustanis,169832,0.5239471948749352
125283,huns,227239,0.5317925180096726
125283,incas,99311,0.5028949461791745
125283,italians,100245,0.48862287395880094
125283,japanese,108700,0.47975160993560256
125283,khmer,222497,0.49693254291069094
125283,koreans,95979,0.487148230342054
125283,lithuanians,172015,0.49683457837979245
125283,magyars,244356,0.5052587208826467
125283,malay,104057,0.5190520580066694
125283,malians,109604,0.5121528411371847
125283,mayans,139789,0.4873845581555058
125283,mongols,466951,0.513115937218252
125283,persians,240304,0.5148520207736866
125283,poles,122519,0.4801377745492536
125283,portuguese,148588,0.4861496217729561
125283,romans,88389,0.5296812951837898
125283,saracens,126132,0.4904306599435512
125283,sicilians,127427,0.5152675649587607
125283,slavs,97161,0.5005712168462655
125283,spanish,217294,0.5082745036678418
125283,tatars,100506,0.47882713469842597
125283,teutons,173337,0.500279801773424
125283,turks,165070,0.5041739867934816
125283,vietnamese,161852,0.4798087141339001
125283,vikings,97786,0.5125478084797415
141935,armenians,15860,0.4998738965952081
141935,aztecs,23272,0.483800275008594
141935,bengalis,9065,0.48240485383342524
141935,berbers,14531,0.49838276787557634
141935,bohemians,18331,0.5112650700998309
141935,britons,29460,0.49110658520027156
141935,bulgarians,20104,0.5185037803422204
141935,burgundians,17661,0.462204858162052
141935,burmese,10071,0.481282891470559
141935,byzantines,23023,0.47157190635451507
141935,celts,20698,0.5073920185525171
141935,chinese,23877,0.48544624534070446
141935,cumans,19133,0.4803742225474311
141935,dravidians,9960,0.5020080321285141
141935,ethiopians,27909,0.5180407753771185
141935,franks,44642,0.4970879440885265
141935,georgians,13810,0.47472845763939175
141935,goths,25481,0.5087712413170598
141935,gurjaras,10794,0.4445062071521215
141935,hindustanis,21311,0.5228285861761531
141935,huns,29439,0.5333740955874859
141935,incas,14634,0.509840098400984
141935,italians,17641,0.5085312624000907
141935,japanese,26192,0.5111102626756261
141935,khmer,28555,0.4870950796708107
141935,koreans,20346,0.4890887643762902
141935,lithuanians,24494,0.4909773822160529
141935,magyars,32500,0.4987384615384615
141935,malay,13990,0.5209435310936383
141935,malians,17511,0.5222431614413797
141935,mayans,20336,0.5006392604248623
141935,mongols,58308,0.5122281676613843
141935,persians,32155,0.5139169647022236
141935,poles,15847,0.4735281125765129
141935,portuguese,18230,0.4895776193088316
141935,romans,16554,0.5451250453062704
141935,saracens,17004,0.4900611620795107
141935,sicilians,18079,0.49084573261795456
141935,slavs,15732,0.4893211289092296
141935,spanish,28519,0.5069602720993022
141935,tatars,12419,0.48079555519768097
141935,teutons,27895,0.49822548843878833
141935,turks,21137,0.49869896390216206
141935,vietnamese,23413,0.4841327467646179
141935,vikings,16005,0.528272414870353
143421,armenians,33223,0.4989013635132288
143421,aztecs,39505,0.4814074167826857
143421,bengalis,21994,0.48422296990088204
143421,berbers,33593,0.4879885690471229
143421,bohemians,48285,0.5020399710054883
143421,britons,77124,0.4835719101706343
143421,bulgarians,43537,0.5184785354985415
143421,burgundians,42592,0.46440646130728774
143421,burmese,22915,0.47872572550730963
143421,byzantines,58361,0.4753345556107675
143421,celts,45830,0.5091861226271002
143421,chinese,37312,0.46730274442538594
143421,cumans,48590,0.4931673183782671
143421,dravidians,23032,0.49665682528655786
143421,ethiopians,66914,0.5042741429297307
143421,franks,106007,0.4937598460479025
143421,georgians,24356,0.46292494662506156
143421,goths,62507,0.5126145871662374
143421,gurjaras,24611,0.44325708016740484
143421,hindustanis,46403,0.5133935305906946
143421,huns,66933,0.507074238417522
143421,incas,33746,0.4993184377407693
143421,italians,42730,0.5093845073718699
143421,japanese,54645,0.5112453106414128
143421,jurchens,30689,0.46801785656098277
143421,khitans,102636,0.579582212868779
143421,khmer,67896,0.48633203723341584
143421,koreans,37835,0.4856614246068455
143421,lithuanians,59438,0.49397691712372555
143421,magyars,75605,0.4889623702136102
143421,malay,34283,0.5231164133827262
143421,malians,38530,0.5185310147936673
143421,mayans,46863,0.49493203593453255
143421,mongols,147297,0.5088358893935382
143421,persians,83442,0.5093957479446801
143421,poles,40272,0.47603794199443783
143421,portuguese,44608,0.48260401721664276
143421,romans,40803,0.5422885572139303
143421,saracens,43341,0.4844835144551349
143421,shu,24487,0.5288928819373545
143421,sicilians,45857,0.4959984299016508
143421,slavs,35094,0.4918504587678805
143421,spanish,74925,0.5061061061061061
143421,tatars,29607,0.4690782585199446
143421,teutons,64141,0.49809014514896865
143421,turks,54115,0.4997135729465028
143421,vietnamese,54867,0.4765888421091002
143421,vikings,36985,0.5169663377044748
143421,wei,21958,0.4391565716367611
143421,wu,37551,0.5398524673111236
147949,armenians,42324,0.4977790378981193
147949,aztecs,47778,0.48624890116790154
147949,bengalis,28861,0.49142441356848343
147949,berbers,43929,0.49117894784766325
147949,bohemians,61174,0.5010298492823748
147949,britons,94847,0.47877107341297037
147949,bulgarians,56411,0.5219549378667281
147949,burgundians,56712,0.47917548314289743
147949,burmese,30261,0.48438584316446914
147949,byzantines,82201,0.477901728689432
147949,celts,53636,0.5091542993511821
147949,chinese,50207,0.4764275897783178
147949,cumans,60037,0.49411196428868864
147949,dravidians,28187,0.49196438074289567
147949,ethiopians,80459,0.5080848630979754
147949,franks,139828,0.5043481992161799
147949,georgians,31814,0.4709561828125982
147949,goths,67616,0.5010796261239944
147949,gurjaras,31613,0.465915920665549
147949,hindustanis,60779,0.5188634232218365
147949,huns,80086,0.5119121943910296
147949,incas,40030,0.5001998501124156
147949,italians,51574,0.5070578198316982
